gene_id,Peromyscus_F_1,Peromyscus_F_2,Peromyscus_M_1,Peromyscus_M_2,Chromosome,species
Map4k5,0.017619286,0.10072189,0.064592781,0.035748494,Autosome,Peromyscus
LOC119088983,0.369240184,0.252376774,0.241722243,0.686736063,Autosome,Peromyscus
Atl1,0.258125724,0.250044899,0.346628545,0.555055701,Autosome,Peromyscus
Sav1,0.130492667,0.151356341,0.045560921,0.137283972,Autosome,Peromyscus
Nin,0.076820752,0.100492276,0.093169823,0.098440918,Autosome,Peromyscus
Abhd12b,3.507353979,3.636617922,5.140068624,3.84146652,Autosome,Peromyscus
Pygl,0.861588933,0.459325407,2.027264233,1.441278571,Autosome,Peromyscus
Trim9,4.105879807,3.579782151,4.467740431,3.723034159,Autosome,Peromyscus
LOC119088984,2.247754467,2.055911518,1.789328588,1.864762966,Autosome,Peromyscus
Tmx1,0.120941725,0.280556714,0.295583769,0.181765664,Autosome,Peromyscus
LOC114684506,0,0,0,0.383242162,Autosome,Peromyscus
Frmd6,0.14440039,0.155967368,0.190463236,0.205769147,Autosome,Peromyscus
Actr10,0.039920321,0.079376462,0.055751993,0.02399881,Autosome,Peromyscus
Psma3,0.019797958,0.09841428,0.082948402,0.017852841,Autosome,Peromyscus
Arid4a,0.065325705,0.135796001,0.080865339,0.042841863,Autosome,Peromyscus
LOC119088985,0,0,0,0,Autosome,Peromyscus
Tomm20l,0.636337693,0.351465634,0.333261613,0.605697364,Autosome,Peromyscus
Timm9,0.097517648,0,0,0,Autosome,Peromyscus
Kiaa0586,0.027526643,0.050823701,0.045308067,0.039006307,Autosome,Peromyscus
Dact1,0.412232658,0.707898567,0.157013625,0.270350163,Autosome,Peromyscus
LOC119089057,0.658503578,0.545562632,0.68974058,1.237097248,Autosome,Peromyscus
LOC114684795,0,5.828552012,3.070369171,5.286641881,Autosome,Peromyscus
LOC114684784,0,0,4.438355435,0,Autosome,Peromyscus
LOC114684678,5.064762728,10.07063425,10.61003311,13.70147423,Autosome,Peromyscus
Daam1,0.134863207,0.148705952,0.115576875,0.256493121,Autosome,Peromyscus
LOC119088986,1.020058385,0.875837777,0.837758973,0.86757572,Autosome,Peromyscus
Gpr135,8.586708403,8.401282295,8.851268068,6.514018293,Autosome,Peromyscus
LOC119088987,0,0,0.36932968,0.317960748,Autosome,Peromyscus
L3hypdh,0.2516005,0.166758494,0.65883877,0.64282996,Autosome,Peromyscus
LOC114683910,0.768230997,0.651446313,0.875673632,0.57050293,Autosome,Peromyscus
Ccdc175,0.949994341,1.20386828,1.163237517,1.278955617,Autosome,Peromyscus
Rtn1,1.762119901,1.530484429,1.586092297,1.719955589,Autosome,Peromyscus
Lrrc9,1.362792441,1.321688939,1.287607638,1.590046527,Autosome,Peromyscus
LOC114684505,4.367065822,4.884386061,1.143555865,6.89151531,Autosome,Peromyscus
Pcnx4,0.08769478,0.108981173,0.103336537,0.138388095,Autosome,Peromyscus
LOC114683850,0.534412722,0.531305744,1.003713518,1.179842614,Autosome,Peromyscus
LOC114683839,0.204098774,0.293095372,0.166273701,0.286294405,Autosome,Peromyscus
Ppm1a,0.090023654,0.195273322,0.171443722,0.14759814,Autosome,Peromyscus
C14H14orf39,0.912313725,0.870729312,1.197673493,1.009154617,Autosome,Peromyscus
LOC114684499,2.774537767,4.137610666,3.632689619,1.876457977,Autosome,Peromyscus
Six6,35.52917615,38.22584471,34.66560856,17.99422193,Autosome,Peromyscus
Six1,13.89354898,11.52476885,12.94557167,8.377974398,Autosome,Peromyscus
Six4,2.486930754,2.409877959,5.209803312,4.6838986,Autosome,Peromyscus
Mnat1,0.054618802,0.07466423,0.071512148,0.098505188,Autosome,Peromyscus
LOC114684774,0,0,0,0,Autosome,Peromyscus
LOC114684463,0,0,0,0,Autosome,Peromyscus
Trmt5,0.187954524,0.062287263,0,0.112992199,Autosome,Peromyscus
Slc38a6,0.104563642,0.103955728,0.102678524,0.117863044,Autosome,Peromyscus
LOC119088990,2.802593089,2.458499404,4.144288742,3.419210986,Autosome,Peromyscus
LOC119089058,0.178694134,0,0.37434146,0.322275455,Autosome,Peromyscus
Tmem30b,18.66584519,15.52508267,18.14563673,9.901150844,Autosome,Peromyscus
LOC119088991,4.342448766,4.197280268,4.927475214,6.308805447,Autosome,Peromyscus
Prkch,2.181881795,2.157055706,2.302437382,1.99871675,Autosome,Peromyscus
Hif1a,0.03416332,0.059438226,0.06262183,0.053911952,Autosome,Peromyscus
LOC119088992,0,0.294758779,0,0,Autosome,Peromyscus
Snapc1,0,0.088850806,0,0.040294947,Autosome,Peromyscus
Syt16,1.302562698,1.123499846,1.274858157,1.443522188,Autosome,Peromyscus
LOC114684752,2.459611785,1.222656025,1.288143388,2.21795895,Autosome,Peromyscus
LOC114683730,0,0,0,0,Autosome,Peromyscus
LOC114684767,0,0,0,0,Autosome,Peromyscus
LOC114683713,4.396240243,3.942782436,3.638743666,3.382144429,Autosome,Peromyscus
LOC114683703,0.485504765,1.206705323,0,0.875609432,Autosome,Peromyscus
Kcnh5,0.666162085,0.719506345,0.849974043,0.922476815,Autosome,Peromyscus
Rhoj,0.311801315,0.289989298,0.31078919,0.399076233,Autosome,Peromyscus
Gphb5,1.31909317,1.602851803,1.07462921,1.585992564,Autosome,Peromyscus
Ppp2r5e,0.048685303,0.071179787,0.056994139,0.038737104,Autosome,Peromyscus
Wdr89,0.068903978,0.107648173,0.195896869,0.150897525,Autosome,Peromyscus
